Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
11,Kevin Durant,3PA,6.5,UNDER,77.4%,B,STRONG BET,75.77,,,UNDER,77.3%,75.63,,UNDER,75.9%,74.27,,UNDER,78.8%,77.13,,UNDER,77.7%,76.05,,-0.36,-1.35,-0.58,-2.9,2.11,1.4,1.6,0.0102,100.0%
12,Deni Avdija,PTS,22.5,UNDER,72.7%,D,STRONG BET,75.46,,,UNDER,70.0%,72.71,,UNDER,69.7%,72.39,,UNDER,75.9%,78.58,,UNDER,75.4%,78.15,,0.19,-0.7,-0.0,-6.1,7.73,1.6,1.6,0.0291,100.0%
13,Desmond Bane,STL,1.5,UNDER,74.5%,A,STRONG BET,75.13,,,UNDER,77.9%,78.5,,UNDER,77.7%,78.34,,UNDER,71.2%,71.88,,UNDER,71.2%,71.79,,-0.33,0.2,-0.15,0.3,-0.78,1.4,1.2,0.0329,100.0%
14,Josh Giddey,TOV,4.5,UNDER,77.5%,A,STRONG BET,75.12,,,UNDER,77.4%,75.05,,UNDER,76.9%,74.51,,UNDER,78.1%,75.77,,UNDER,77.5%,75.13,,-0.6,-0.35,-1.75,-0.5,-0.36,1.2,1.2,0.0045,100.0%
15,Derrick White,BLK,1.5,UNDER,73.8%,S,STRONG BET,73.47,,,UNDER,71.8%,71.46,,UNDER,72.0%,71.61,,UNDER,75.7%,75.37,,UNDER,75.8%,75.44,,-0.08,-0.94,-0.27,-0.7,0.64,1.0,1.6,0.0194,100.0%
16,Bennedict Mathurin,TOV,2.5,UNDER,75.4%,A,STRONG BET,73.02,,,UNDER,77.4%,74.98,,UNDER,76.8%,74.45,,UNDER,74.0%,71.6,,UNDER,73.5%,71.05,,-0.67,-0.75,-2.11,-0.3,0.03,1.4,1.6,0.0171,100.0%
17,Jayson Tatum,STL,1.5,UNDER,74.4%,A,STRONG BET,72.6,,,UNDER,78.8%,77.1,,UNDER,78.7%,76.93,,UNDER,70.0%,68.21,,UNDER,69.9%,68.15,,-0.3,-0.3,-1.5,-0.25,-0.0,0.6,0.8,0.0442,100.0%
18,Jrue Holiday,STL,1.5,UNDER,72.8%,A,STRONG BET,72.07,,,UNDER,71.3%,70.57,,UNDER,71.3%,70.52,,UNDER,74.4%,73.66,,UNDER,74.3%,73.52,,-0.76,-1.84,0.41,-0.9,0.53,1.8,2.0,0.0152,100.0%
19,Jalen Suggs,REB,4.5,UNDER,74.4%,B,STRONG BET,71.85,,,UNDER,74.7%,72.21,,UNDER,73.2%,70.67,,UNDER,75.6%,73.03,,UNDER,74.0%,71.51,,-0.72,-0.88,-2.0,-0.9,0.17,1.8,1.6,0.0087,100.0%
20,Reed Sheppard,SB,2.5,UNDER,71.8%,A,STRONG BET,71.84,,,UNDER,71.6%,71.58,,UNDER,71.2%,71.24,,UNDER,72.5%,72.5,,UNDER,72.0%,72.04,,-0.42,-0.1,-0.25,-0.1,-0.32,1.2,1.2,0.0048,100.0%
