Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
262,P.J. Washington,REB,7.0,UNDER,PrizePicks,,,62.6%,B,DO NOT BET,42.79,❌ MISS,15.0,UNDER,62.4%,42.72,❌ MISS,UNDER,61.1%,41.13,❌ MISS,UNDER,64.0%,44.43,❌ MISS,UNDER,62.7%,42.88,❌ MISS,-0.02,0.07,0.32,0.2,-0.26,1.4,1.2,0.0104,100.0%,7.5,0.5,43.7%,56.3%,0.041,,,,,,6.5,-0.5,57.3%,42.7%,0.1296,,,,,,,,,,,6.5,-0.5,53.3%,46.7%,0.1033
263,Kevin Durant,PR,31.5,UNDER,Underdog and PrizePicks,,,62.4%,D,DO NOT BET,42.77,❌ MISS,33.0,UNDER,64.3%,43.8,❌ MISS,UNDER,63.9%,43.56,❌ MISS,UNDER,60.8%,41.89,❌ MISS,UNDER,60.7%,41.82,❌ MISS,-0.01,-0.13,0.86,-1.1,0.98,1.4,1.6,0.0166,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Payton Pritchard,PR,17.0,OVER,PrizePicks,,,65.8%,D,STRONG BET,42.75,❌ MISS,16.0,OVER,63.0%,39.32,❌ MISS,OVER,62.6%,38.76,❌ MISS,OVER,68.7%,46.38,❌ MISS,OVER,68.8%,46.52,❌ MISS,-0.55,-0.03,0.83,-0.2,-3.47,1.4,1.2,0.0299,100.0%,17.5,0.5,48.4%,51.6%,0.1132,,,,,,,,,,,,,,,,,,,,,,,,,
265,Darius Garland,STL,0.5,OVER,PrizePicks,Goblin,,61.0%,A,BET WITH CAUTION,42.74,✅ HIT,1.0,OVER,58.5%,39.51,✅ HIT,OVER,58.0%,39.06,✅ HIT,OVER,64.1%,46.46,✅ HIT,OVER,63.5%,45.94,✅ HIT,-0.97,-1.75,-0.89,-0.7,0.31,1.6,2.0,0.0282,100.0%,1.5,1.0,55.7%,44.3%,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,
266,Isaiah Hartenstein,AST,3.5,UNDER,Underdog,,0.82x,56.8%,C,DO NOT BET,42.73,✅ HIT,2.0,UNDER,56.3%,42.14,✅ HIT,UNDER,56.2%,42.06,✅ HIT,UNDER,57.3%,43.39,✅ HIT,UNDER,57.3%,43.33,✅ HIT,0.1,0.7,-1.0,2.1,-1.8,0.6,0.8,0.0053,100.0%,3.5,0.0,43.3%,56.7%,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,
267,Quentin Grimes,REB,4.5,UNDER,Underdog,,0.81x,58.2%,B,DO NOT BET,42.72,❌ MISS,6.0,UNDER,60.0%,44.69,❌ MISS,UNDER,58.8%,43.42,❌ MISS,UNDER,57.5%,41.9,❌ MISS,UNDER,56.5%,40.88,❌ MISS,-0.39,0.05,-0.46,0.1,-0.91,0.8,0.8,0.0135,100.0%,3.5,-1.0,40.9%,59.1%,-0.0056,3.5,-1.0,41.6%,58.4%,-0.001,3.5,-1.0,40.5%,59.6%,-0.0088,3.5,-1.0,40.6%,59.4%,-0.0075,4.5,0.0,41.7%,58.3%,-0.0006,3.5,-1.0,40.3%,59.7%,-0.0098
268,Bam Adebayo,STL,0.5,OVER,PrizePicks,Goblin,,67.0%,A,BET,42.71,✅ HIT,2.0,OVER,66.6%,42.52,✅ HIT,OVER,66.0%,42.17,✅ HIT,OVER,67.9%,43.25,✅ HIT,OVER,67.3%,42.9,✅ HIT,-0.56,-1.11,-0.71,-1.3,0.64,2.0,2.0,0.0074,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Ausar Thompson,AST,2.5,OVER,PrizePicks,Goblin,,62.5%,C,DO NOT BET,42.71,✅ HIT,5.0,OVER,63.0%,42.95,✅ HIT,OVER,61.3%,42.04,✅ HIT,OVER,63.8%,43.42,✅ HIT,OVER,62.0%,42.43,✅ HIT,-0.69,-0.79,2.12,-0.5,0.06,1.6,1.6,0.0095,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Shai Gilgeous-Alexander,STL,0.5,OVER,PrizePicks,Goblin,,69.6%,A,BET,42.68,✅ HIT,2.0,OVER,70.0%,42.89,✅ HIT,OVER,69.3%,42.53,✅ HIT,OVER,69.9%,42.84,✅ HIT,OVER,69.2%,42.48,✅ HIT,-0.8,-1.46,-1.38,-1.7,0.77,2.0,2.0,0.0033,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Collin Sexton,PTS,14.5,OVER,Underdog and PrizePicks,,,57.1%,D,DO NOT BET,42.67,✅ HIT,16.0,OVER,57.0%,42.46,✅ HIT,OVER,56.4%,41.69,✅ HIT,OVER,58.0%,43.76,✅ HIT,OVER,57.1%,42.76,✅ HIT,-0.02,-0.81,-0.38,-6.7,6.5,1.0,1.2,0.0056,100.0%,14.5,0.0,50.0%,50.0%,0.0463,14.5,0.0,51.2%,48.8%,0.0385,14.5,0.0,50.7%,49.3%,0.0419,14.5,0.0,50.3%,49.7%,0.0446,17.5,3.0,36.6%,63.4%,0.1332,14.5,0.0,48.0%,52.0%,0.0593
272,Tyler Herro,TOV,2.5,UNDER,Underdog,,0.77x,66.8%,A,BET,42.66,✅ HIT,2.0,UNDER,67.3%,42.98,✅ HIT,UNDER,67.0%,42.82,✅ HIT,UNDER,66.5%,42.51,✅ HIT,UNDER,66.2%,42.34,✅ HIT,-0.33,-0.07,-0.3,-0.1,-0.4,1.0,1.2,0.0046,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Josh Giddey,3PM,1.5,OVER,PrizePicks,Goblin,,63.5%,S,BET WITH CAUTION,42.66,✅ HIT,3.0,OVER,62.0%,40.34,✅ HIT,OVER,61.6%,39.9,✅ HIT,OVER,65.5%,45.55,✅ HIT,OVER,64.9%,44.83,✅ HIT,-0.41,-0.6,-0.3,-0.7,0.22,1.6,1.2,0.0169,100.0%,2.5,1.0,44.0%,56.0%,0.1265,2.5,1.0,46.2%,53.8%,0.1125,2.5,1.0,45.5%,54.5%,0.1168,2.5,1.0,45.6%,54.4%,0.1162,2.5,1.0,46.0%,54.0%,0.1138,2.5,1.0,45.7%,54.3%,0.1158
274,Naz Reid,RA,8.0,UNDER,PrizePicks,,,61.1%,C,DO NOT BET,42.6,❌ MISS,14.0,UNDER,63.0%,43.64,❌ MISS,UNDER,61.4%,42.78,❌ MISS,UNDER,60.7%,42.36,❌ MISS,UNDER,59.4%,41.64,❌ MISS,0.27,-1.13,0.66,-2.2,2.72,1.8,2.0,0.0131,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Julius Randle,3PM,1.5,UNDER,Underdog,,0.75x,63.5%,S,BET WITH CAUTION,42.59,✅ HIT,0.0,UNDER,62.6%,42.12,✅ HIT,UNDER,62.7%,42.19,✅ HIT,UNDER,64.2%,43.01,✅ HIT,UNDER,64.3%,43.03,✅ HIT,-0.12,-0.1,0.3,-0.1,-0.02,1.6,1.2,0.0078,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Dyson Daniels,SB,2.5,UNDER,Underdog,,0.88x,62.2%,A,BET WITH CAUTION,42.58,❌ MISS,3.0,UNDER,62.9%,43.0,❌ MISS,UNDER,62.9%,42.98,❌ MISS,UNDER,61.4%,42.17,❌ MISS,UNDER,61.4%,42.15,❌ MISS,-0.2,-0.12,1.15,-0.1,-0.06,1.2,1.6,0.0075,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Jrue Holiday,PR,20.5,UNDER,Underdog and PrizePicks,,,56.4%,D,DO NOT BET,42.54,✅ HIT,18.0,UNDER,54.6%,40.45,✅ HIT,UNDER,54.5%,40.3,✅ HIT,UNDER,58.3%,44.78,✅ HIT,UNDER,58.1%,44.63,✅ HIT,-0.05,-1.39,0.36,-4.1,3.94,1.4,2.0,0.0182,100.0%,20.5,0.0,48.1%,51.9%,0.0295,20.5,0.0,48.4%,51.6%,0.0312,,,,,,,,,,,20.5,0.0,48.0%,52.0%,0.0286,19.5,-1.0,50.1%,49.9%,0.0425
278,RJ Barrett,FGA,16.5,UNDER,Underdog,,0.87x,70.2%,D,STRONG BET,42.53,❌ MISS,19.0,UNDER,72.2%,43.6,❌ MISS,UNDER,69.2%,41.99,❌ MISS,UNDER,70.8%,42.86,❌ MISS,UNDER,68.7%,41.68,❌ MISS,-0.82,-0.88,0.25,-2.7,0.2,1.4,1.6,0.0137,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Nikola Jokić,AST,10.5,OVER,Underdog and PrizePicks,,,56.2%,C,DO NOT BET,42.49,✅ HIT,19.0,OVER,58.0%,44.5,✅ HIT,OVER,56.7%,43.01,✅ HIT,OVER,55.7%,41.92,✅ HIT,OVER,54.6%,40.54,✅ HIT,-0.06,-0.67,-0.49,-2.1,1.92,1.4,1.2,0.0124,100.0%,10.5,0.0,48.5%,51.5%,0.0501,10.5,0.0,50.7%,49.3%,0.0363,10.5,0.0,49.7%,50.3%,0.0424,10.5,0.0,50.5%,49.5%,0.0372,12.5,2.0,29.0%,71.0%,0.1768,10.5,0.0,51.1%,48.9%,0.0337
280,Tobias Harris,REB,6.0,UNDER,PrizePicks,,,68.2%,B,STRONG BET,42.49,✅ HIT,3.0,UNDER,67.9%,42.3,✅ HIT,UNDER,66.4%,41.5,✅ HIT,UNDER,70.0%,43.47,✅ HIT,UNDER,68.6%,42.68,✅ HIT,-1.01,0.27,-1.0,0.2,-0.96,1.4,1.2,0.0129,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Austin Reaves,STL,0.5,OVER,PrizePicks,Goblin,,60.1%,A,BET WITH CAUTION,42.49,✅ HIT,2.0,OVER,57.3%,39.29,✅ HIT,OVER,56.8%,38.83,✅ HIT,OVER,63.5%,46.18,✅ HIT,OVER,62.9%,45.65,✅ HIT,-0.37,-0.44,-0.5,-0.7,0.11,1.0,0.8,0.0308,100.0%,1.5,1.0,54.3%,45.7%,0.0381,1.5,1.0,54.6%,45.4%,0.0361,,,,,,,,,,,,,,,,,,,,
282,Jalen Williams,FGA,10.5,OVER,PrizePicks,,,68.2%,D,DO NOT BET,42.47,❌ MISS,9.0,OVER,70.1%,43.52,❌ MISS,OVER,66.3%,41.42,❌ MISS,OVER,69.8%,43.34,❌ MISS,OVER,66.6%,41.61,❌ MISS,-0.89,-0.33,1.5,-1.3,-2.24,1.8,1.6,0.0175,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Jalen Duren,REB,11.0,UNDER,PrizePicks,,,66.6%,B,STRONG BET,42.42,❌ MISS,14.0,UNDER,66.1%,42.11,❌ MISS,UNDER,64.7%,41.33,❌ MISS,UNDER,68.6%,43.51,❌ MISS,UNDER,67.2%,42.73,❌ MISS,-0.23,-0.5,-1.5,-1.0,0.54,1.6,2.0,0.0145,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Brandon Ingram,REB,4.5,OVER,Underdog,,0.84x,58.8%,B,DO NOT BET,42.41,✅ HIT,6.0,OVER,58.9%,42.56,✅ HIT,OVER,59.4%,43.17,✅ HIT,OVER,58.3%,41.72,✅ HIT,OVER,58.6%,42.2,✅ HIT,-0.56,0.05,-1.5,0.1,-1.2,1.2,1.2,0.004,100.0%,4.5,0.0,55.6%,44.4%,0.021,4.5,0.0,52.9%,47.1%,0.0381,4.5,0.0,55.7%,44.3%,0.0201,4.5,0.0,53.7%,46.3%,0.0331,5.5,1.0,59.4%,40.6%,-0.0041,4.5,0.0,54.5%,45.5%,0.0278
285,Norman Powell,AST,1.5,OVER,PrizePicks,Goblin,,73.5%,C,STRONG BET,42.4,✅ HIT,2.0,OVER,74.2%,42.78,✅ HIT,OVER,71.8%,41.49,✅ HIT,OVER,75.2%,43.35,✅ HIT,OVER,72.8%,42.0,✅ HIT,-2.21,-2.25,-0.95,-1.1,0.02,1.6,2.0,0.0129,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Onyeka Okongwu,AST,1.5,OVER,PrizePicks,Goblin,,75.4%,C,STRONG BET,42.4,✅ HIT,2.0,OVER,76.2%,42.84,✅ HIT,OVER,73.8%,41.52,✅ HIT,OVER,77.1%,43.3,✅ HIT,OVER,74.6%,41.92,✅ HIT,-1.71,-2.06,-2.04,-2.1,0.36,1.6,2.0,0.0129,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Brandon Ingram,RA,8.5,UNDER,Underdog and PrizePicks,,0.88x,57.0%,C,DO NOT BET,42.38,❌ MISS,10.0,UNDER,57.4%,42.86,❌ MISS,UNDER,56.4%,41.66,❌ MISS,UNDER,57.6%,43.06,❌ MISS,UNDER,56.6%,41.94,❌ MISS,0.25,-0.66,-1.5,-2.1,2.89,1.2,1.2,0.0049,100.0%,8.5,0.0,45.7%,54.3%,0.0178,8.5,0.0,46.8%,53.2%,0.0248,,,,,,,,,,,8.5,0.0,46.9%,53.0%,0.0257,8.5,0.0,50.8%,49.2%,0.0507
288,Norman Powell,RA,4.5,OVER,PrizePicks,Goblin,,68.6%,C,BET,42.38,✅ HIT,6.0,OVER,69.3%,42.82,✅ HIT,OVER,67.5%,41.83,✅ HIT,OVER,69.8%,43.06,✅ HIT,OVER,67.6%,41.84,✅ HIT,-0.98,-0.76,0.0,-1.3,-0.39,1.6,1.6,0.0102,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Kristaps Porziņģis,SB,2.5,UNDER,Underdog,,0.80x,64.8%,A,BET WITH CAUTION,42.38,✅ HIT,0.0,UNDER,65.0%,42.47,✅ HIT,UNDER,64.9%,42.41,✅ HIT,UNDER,64.8%,42.37,✅ HIT,UNDER,64.6%,42.27,✅ HIT,-0.3,0.35,0.1,0.5,-0.92,1.2,0.8,0.0014,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Julius Randle,STL,0.5,OVER,PrizePicks,Goblin,,65.7%,A,BET,42.37,✅ HIT,2.0,OVER,65.2%,42.11,✅ HIT,OVER,64.6%,41.77,✅ HIT,OVER,66.7%,42.96,✅ HIT,OVER,66.1%,42.63,✅ HIT,-0.44,-1.06,0.27,-1.5,0.88,1.6,1.6,0.0083,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Norman Powell,REB,2.5,OVER,PrizePicks,Goblin,,63.6%,B,DO NOT BET,42.32,✅ HIT,4.0,OVER,62.4%,41.65,✅ HIT,OVER,62.7%,41.82,✅ HIT,OVER,64.7%,42.9,✅ HIT,OVER,64.7%,42.92,✅ HIT,-0.64,-0.41,2.0,-0.7,-0.4,1.4,1.2,0.0108,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Kristaps Porziņģis,RA,8.0,UNDER,PrizePicks,,,59.0%,C,DO NOT BET,42.32,✅ HIT,7.0,UNDER,60.6%,44.23,✅ HIT,UNDER,59.2%,42.72,✅ HIT,UNDER,58.6%,41.73,✅ HIT,UNDER,57.6%,40.58,✅ HIT,-0.16,-0.2,0.29,-0.6,0.12,1.4,1.2,0.0109,100.0%,,,,,,8.5,0.5,42.5%,57.5%,0.0096,,,,,,,,,,,8.5,0.5,42.5%,57.5%,0.0096,8.5,0.5,43.1%,56.9%,0.0134
293,Jrue Holiday,3PM,2.5,UNDER,Underdog,,0.84x,54.5%,S,DO NOT BET,42.31,❌ MISS,4.0,UNDER,53.9%,41.49,❌ MISS,UNDER,54.1%,41.76,❌ MISS,UNDER,55.0%,42.85,❌ MISS,UNDER,55.2%,43.14,❌ MISS,-0.1,-0.6,1.86,-0.7,0.59,1.4,1.6,0.0058,100.0%,2.5,0.0,45.7%,54.3%,0.0019,2.5,0.0,46.4%,53.6%,0.0062,2.5,0.0,47.3%,52.7%,0.012,2.5,0.0,45.6%,54.4%,0.0012,2.5,0.0,45.9%,54.1%,0.0029,2.5,0.0,46.5%,53.5%,0.0069
294,VJ Edgecombe,PRA,30.5,OVER,Underdog and PrizePicks,,,67.9%,D,STRONG BET,42.3,✅ HIT,34.0,OVER,63.7%,37.29,✅ HIT,OVER,63.5%,37.07,✅ HIT,OVER,72.1%,47.29,✅ HIT,OVER,72.3%,47.54,✅ HIT,0.36,-0.55,1.0,-7.3,12.08,1.2,1.6,0.043,100.0%,30.5,0.0,48.5%,51.5%,0.1261,29.5,-1.0,52.8%,47.1%,0.0981,30.5,0.0,50.9%,49.1%,0.1105,30.5,0.0,50.0%,50.0%,0.1166,31.5,1.0,44.1%,55.9%,0.1552,31.5,1.0,46.9%,53.1%,0.137
295,LeBron James,REB,6.5,UNDER,Underdog,,0.87x,54.6%,B,DO NOT BET,42.3,❌ MISS,9.0,UNDER,53.6%,41.09,❌ MISS,UNDER,52.6%,39.9,❌ MISS,UNDER,56.5%,44.71,❌ MISS,UNDER,55.5%,43.51,❌ MISS,-0.16,0.4,1.5,1.5,-2.1,1.2,1.2,0.0153,100.0%,6.5,0.0,44.2%,55.8%,-0.008,6.5,0.0,44.6%,55.4%,-0.0055,5.5,-1.0,52.2%,47.8%,0.0441,6.5,0.0,44.7%,55.3%,-0.0046,7.5,1.0,34.2%,65.8%,-0.0731,5.5,-1.0,53.1%,46.9%,0.0498
296,Collin Sexton,PA,17.5,OVER,PrizePicks,,,66.5%,D,STRONG BET,42.29,✅ HIT,20.0,OVER,65.8%,41.89,✅ HIT,OVER,66.2%,42.11,✅ HIT,OVER,66.8%,42.45,✅ HIT,OVER,67.3%,42.72,✅ HIT,-0.06,-0.82,-0.58,-7.1,6.55,1.2,1.6,0.0057,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Tobias Harris,3PM,0.5,OVER,PrizePicks,Goblin,,67.1%,S,BET,42.25,✅ HIT,2.0,OVER,67.3%,42.39,✅ HIT,OVER,66.9%,42.16,✅ HIT,OVER,67.3%,42.39,✅ HIT,OVER,66.7%,42.05,✅ HIT,-0.65,-0.6,0.0,-0.7,-0.06,1.2,1.2,0.0027,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Chet Holmgren,PR,23.0,OVER,PrizePicks,,,59.8%,D,DO NOT BET,42.21,❌ MISS,15.0,OVER,58.9%,41.1,❌ MISS,OVER,58.6%,40.72,❌ MISS,OVER,60.7%,43.44,❌ MISS,OVER,60.8%,43.59,❌ MISS,-0.48,-0.42,-0.5,-2.8,-0.43,1.4,1.6,0.0099,100.0%,23.5,0.5,50.7%,49.3%,0.0591,,,,,,,,,,,,,,,,,,,,,,,,,
299,Deandre Ayton,PTS,11.5,OVER,Underdog and PrizePicks,,,56.8%,D,DO NOT BET,42.17,NO GAME,,OVER,56.5%,41.81,NO GAME,OVER,55.9%,41.08,NO GAME,OVER,57.8%,43.38,NO GAME,OVER,57.0%,42.41,NO GAME,-0.24,0.35,-0.06,1.3,-2.2,0.8,0.8,0.0071,100.0%,11.5,0.0,50.5%,49.5%,0.0408,11.5,0.0,50.4%,49.6%,0.0417,12.5,1.0,44.4%,55.6%,0.0811,11.5,0.0,50.0%,50.0%,0.0443,14.5,3.0,45.1%,54.9%,0.076,11.5,0.0,50.9%,49.1%,0.0382
300,Ausar Thompson,TOV,1.5,UNDER,PrizePicks,,,62.2%,A,BET WITH CAUTION,42.07,✅ HIT,1.0,UNDER,64.3%,43.23,✅ HIT,UNDER,64.1%,43.13,✅ HIT,UNDER,60.2%,40.98,✅ HIT,UNDER,60.1%,40.93,✅ HIT,-0.01,0.32,0.19,0.5,-0.52,1.4,1.2,0.0202,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Jamal Murray,3PA,7.5,UNDER,Underdog,,0.87x,65.0%,B,BET,42.05,❌ MISS,14.0,UNDER,63.3%,41.11,❌ MISS,UNDER,62.8%,40.86,❌ MISS,UNDER,67.2%,43.25,❌ MISS,UNDER,66.7%,42.97,❌ MISS,-0.1,-0.4,-0.58,-0.9,0.68,1.6,1.2,0.0195,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Jayson Tatum,PR,28.5,UNDER,Underdog and PrizePicks,,,54.9%,D,DO NOT BET,42.04,❌ MISS,31.0,UNDER,57.7%,45.38,❌ MISS,UNDER,57.4%,45.1,❌ MISS,UNDER,52.3%,38.92,❌ MISS,UNDER,52.2%,38.77,❌ MISS,-0.11,0.11,2.0,0.5,-1.0,1.0,1.2,0.0267,100.0%,28.5,0.0,47.6%,52.4%,0.0161,,,,,,,,,,,,,,,,,,,,,,,,,
303,Draymond Green,3PM,1.5,UNDER,Underdog and PrizePicks,,0.88x,57.5%,S,DO NOT BET,42.01,✅ HIT,1.0,UNDER,58.5%,43.25,✅ HIT,UNDER,58.7%,43.45,✅ HIT,UNDER,56.3%,40.54,✅ HIT,UNDER,56.5%,40.8,✅ HIT,0.01,-0.26,-1.86,-0.3,0.31,1.2,1.2,0.0112,100.0%,1.5,0.0,47.2%,52.8%,0.0306,1.5,0.0,47.1%,52.9%,0.0298,1.5,0.0,46.0%,54.0%,0.0227,1.5,0.0,46.6%,53.4%,0.0264,1.5,0.0,46.9%,53.0%,0.0289,1.5,0.0,47.6%,52.4%,0.033
304,P.J. Washington,PRA,24.5,UNDER,Underdog,,0.88x,59.2%,D,DO NOT BET,41.94,❌ MISS,35.0,UNDER,57.0%,39.08,❌ MISS,UNDER,56.6%,38.72,❌ MISS,UNDER,61.8%,45.18,❌ MISS,UNDER,61.5%,44.78,❌ MISS,-0.22,0.33,-0.3,2.3,-3.8,1.2,0.4,0.0244,100.0%,,,,,,,,,,,,,,,,23.5,-1.0,46.6%,53.4%,0.038,,,,,,23.5,-1.0,46.9%,53.1%,0.0396
305,Brandon Ingram,PRA,29.5,UNDER,Underdog and PrizePicks,,,56.2%,D,DO NOT BET,41.93,✅ HIT,28.0,UNDER,55.1%,40.69,✅ HIT,UNDER,54.8%,40.35,✅ HIT,UNDER,57.6%,43.53,✅ HIT,UNDER,57.2%,43.13,✅ HIT,0.12,-0.04,-1.5,-0.5,1.88,1.2,1.2,0.0124,100.0%,29.5,0.0,48.9%,51.1%,0.0332,29.5,0.0,49.1%,50.9%,0.0341,30.5,1.0,47.2%,52.8%,0.0217,29.5,0.0,49.2%,50.8%,0.0349,30.5,1.0,48.4%,51.6%,0.0296,29.5,0.0,51.5%,48.5%,0.0498
306,Nikola Jokić,FTA,7.5,UNDER,PrizePicks,,,65.7%,C,STRONG BET,41.93,✅ HIT,6.0,UNDER,69.3%,43.94,✅ HIT,UNDER,68.4%,43.41,✅ HIT,UNDER,62.7%,40.26,✅ HIT,UNDER,62.4%,40.11,✅ HIT,-0.01,-1.03,-0.82,-3.5,3.47,1.4,1.6,0.0319,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Draymond Green,FGM,3.5,OVER,PrizePicks,Demon,,56.1%,C,DO NOT BET,41.89,❌ MISS,2.0,OVER,56.4%,42.01,❌ MISS,OVER,55.7%,41.62,❌ MISS,OVER,56.7%,42.18,❌ MISS,OVER,55.9%,41.75,❌ MISS,0.2,0.15,2.92,0.3,0.08,1.2,1.2,0.004,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Stephon Castle,FTM,4.5,UNDER,Underdog,,0.75x,63.7%,B,BET,41.86,❌ MISS,5.0,UNDER,60.3%,40.0,❌ MISS,UNDER,60.4%,40.06,❌ MISS,UNDER,67.4%,43.88,❌ MISS,UNDER,66.6%,43.49,❌ MISS,-0.07,0.31,-0.39,1.3,-1.58,1.4,1.2,0.0334,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Julius Randle,PR,27.5,UNDER,Underdog and PrizePicks,,,59.5%,D,DO NOT BET,41.84,❌ MISS,30.0,UNDER,60.6%,42.4,❌ MISS,UNDER,60.2%,42.23,❌ MISS,UNDER,58.8%,41.41,❌ MISS,UNDER,58.6%,41.34,❌ MISS,0.04,0.1,0.86,0.9,-0.52,1.6,1.2,0.0086,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Tobias Harris,3PM,1.5,UNDER,Underdog,,0.71x,67.2%,S,BET,41.8,❌ MISS,2.0,UNDER,68.0%,42.22,❌ MISS,UNDER,68.1%,42.25,❌ MISS,UNDER,66.5%,41.36,❌ MISS,UNDER,66.5%,41.37,❌ MISS,-0.21,-0.26,-2.0,-0.3,0.06,1.4,1.2,0.0079,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Kyle Kuzma,PTS,12.5,UNDER,Underdog and PrizePicks,,,54.4%,D,DO NOT BET,41.8,NO GAME,,UNDER,52.7%,39.79,NO GAME,UNDER,53.0%,40.16,NO GAME,UNDER,55.8%,43.44,NO GAME,UNDER,56.1%,43.81,NO GAME,0.1,-0.34,1.5,-1.9,2.48,1.2,1.6,0.0157,100.0%,12.5,0.0,49.5%,50.5%,0.0253,12.5,0.0,48.5%,51.5%,0.0193,11.5,-1.0,57.4%,42.6%,0.0771,12.5,0.0,49.2%,50.8%,0.0236,15.5,3.0,34.4%,65.6%,-0.0724,13.5,1.0,46.6%,53.4%,0.0065
312,Darius Garland,3PM,2.5,OVER,Underdog and PrizePicks,,,55.1%,S,DO NOT BET,41.8,✅ HIT,5.0,OVER,54.6%,41.2,✅ HIT,OVER,54.3%,40.83,✅ HIT,OVER,56.0%,42.85,✅ HIT,OVER,55.5%,42.31,✅ HIT,-0.08,-0.73,0.0,-1.7,1.51,1.4,1.6,0.0066,100.0%,2.5,0.0,52.4%,47.6%,0.0176,2.5,0.0,51.6%,48.4%,0.0228,2.5,0.0,52.7%,47.3%,0.0157,2.5,0.0,53.7%,46.3%,0.0091,3.5,1.0,37.0%,63.0%,0.1177,2.5,0.0,51.1%,48.9%,0.0262
313,Alex Caruso,STL,0.5,OVER,PrizePicks,Goblin,,68.7%,A,BET,41.78,✅ HIT,1.0,OVER,69.4%,42.2,✅ HIT,OVER,68.8%,41.83,✅ HIT,OVER,68.5%,41.71,✅ HIT,OVER,67.9%,41.36,✅ HIT,-0.87,-0.88,-1.5,-0.9,0.01,1.6,1.6,0.0054,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Brandin Podziemski,FTM,2.5,UNDER,Underdog,,0.71x,66.7%,B,STRONG BET,41.76,❌ MISS,8.0,UNDER,66.6%,41.72,❌ MISS,UNDER,66.0%,41.41,❌ MISS,UNDER,67.4%,42.16,❌ MISS,UNDER,66.7%,41.77,❌ MISS,-0.23,0.51,-1.46,1.1,-1.59,1.0,0.8,0.0049,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
