stat,feature_mode,calibration_set,bt_tight_rows,0.50-0.55_n,0.50-0.55_acc,0.50-0.55_avg_conf,0.55-0.60_n,0.55-0.60_acc,0.55-0.60_avg_conf,0.60-0.65_n,0.60-0.65_acc,0.60-0.65_avg_conf,0.65-0.70_n,0.65-0.70_acc,0.65-0.70_avg_conf,0.70-0.80_n,0.70-0.80_acc,0.70-0.80_avg_conf,0.80-0.90_n,0.80-0.90_acc,0.80-0.90_avg_conf,0.90-1.00_n,0.90-1.00_acc,0.90-1.00_avg_conf,p99_conf,max_conf
SB,reduced,TIGHT,6426,847,0.5324675324675324,0.5245105519143597,926,0.6133909287257019,0.5748489800268208,961,0.6004162330905307,0.625411482979043,1013,0.667324777887463,0.6748383735116193,1852,0.7338012958963283,0.747743561561549,827,0.8222490931076178,0.8280079638084289,0,,,0.8576873857996061,0.8811718681077595
TOV,full,ALL,6647,1096,0.4927007299270073,0.5250253435399871,1057,0.5695364238410596,0.5742613067553249,872,0.6032110091743119,0.6251730323969076,817,0.6744186046511628,0.6745763156099014,1798,0.7441601779755284,0.7494527409171556,986,0.8326572008113591,0.8364809366611549,21,0.8571428571428571,0.907975606476039,0.8823268373259665,0.928345186387123
TOV,full,TIGHT,6647,1117,0.4977618621307073,0.5246653271162408,1084,0.5719557195571956,0.5736902861256121,899,0.60734149054505,0.625030162281418,834,0.6834532374100719,0.6749009121047744,1828,0.7478118161925602,0.7495617909720647,872,0.841743119266055,0.8356533107096957,13,0.7692307692307693,0.9056575507691658,0.8762152415275327,0.9230860306598
TOV,reduced,ALL,6647,1086,0.5165745856353591,0.5240194588651431,961,0.562955254942768,0.5745392017747847,998,0.6232464929859719,0.6239460754917523,898,0.6481069042316259,0.6746847078114893,1727,0.7492762015055009,0.7487928760370394,971,0.8383110195674562,0.8349261430402711,6,0.8333333333333334,0.9060136600199032,0.8764615429498174,0.9177045637345228
TOV,reduced,TIGHT,6647,1124,0.5151245551601423,0.523855691605112,1005,0.5582089552238806,0.5749319860017968,995,0.6301507537688442,0.6241331010677147,927,0.6526429341963322,0.6745437275839983,1730,0.7572254335260116,0.7484918205315373,865,0.8450867052023121,0.8322658557282115,1,1.0,0.9112846388115572,0.8693193903008802,0.9112846388115572
FTA,full,ALL,7266,1742,0.518369690011481,0.5247777468835408,1621,0.5724861196792104,0.5745397644368573,1449,0.6066252587991718,0.6239617693356909,1152,0.6432291666666666,0.6733690639471988,1214,0.7075782537067545,0.7380833746138451,88,0.7613636363636364,0.8133597896339292,0,,,0.8024529946809017,0.8446651620708543
FTA,full,TIGHT,7266,1804,0.5338137472283814,0.524774022335573,1686,0.5693950177935944,0.5747032170226248,1511,0.6154864328259431,0.6236047136056615,1183,0.6390532544378699,0.6736112878535503,1062,0.7278719397363466,0.7343334047925533,20,0.8,0.8085824257120201,0,,,0.7833269503533082,0.8236289574450502
FTA,reduced,ALL,7266,1719,0.5130890052356021,0.5251064716456916,1688,0.5829383886255924,0.5745120103577707,1458,0.5973936899862826,0.6240457197938439,1097,0.6444849589790337,0.6740780495154794,1196,0.7132107023411371,0.7385985921976367,108,0.7962962962962963,0.8145116089560327,0,,,0.8069487186533177,0.8509027237551313
FTA,reduced,TIGHT,7266,1823,0.5074053757542513,0.5249275267217964,1755,0.5749287749287749,0.5742566744694753,1514,0.6109643328929987,0.6238885869879265,1144,0.6538461538461539,0.6741521044039348,1014,0.7337278106508875,0.7348802718977753,16,0.875,0.8102982369052266,0,,,0.7833939614818234,0.8251448036302267
FTM,full,ALL,7055,1616,0.5235148514851485,0.5246988498474167,1512,0.5707671957671958,0.5743010437460464,1333,0.6316579144786196,0.6241652927825062,1097,0.6681859617137648,0.6749313696642991,1362,0.7364170337738619,0.7419605761216312,135,0.8074074074074075,0.814925248159893,0,,,0.81235141838559,0.8478778293652731
FTM,full,TIGHT,7055,1711,0.5125657510227937,0.5247262883111963,1535,0.5758957654723127,0.5748753586077113,1356,0.6393805309734514,0.6244163155694459,1152,0.6744791666666666,0.674914446161847,1253,0.7517956903431764,0.7387358202270978,48,0.7916666666666666,0.8087750852346695,0,,,0.7947427661491687,0.8289844648279847
FTM,reduced,ALL,7055,1617,0.5349412492269635,0.5250937665622962,1518,0.5638998682476943,0.5741308204466334,1302,0.6382488479262672,0.6241891859029137,1092,0.6620879120879121,0.67470508161369,1352,0.7455621301775148,0.7419409308448134,174,0.7701149425287356,0.8177254631228109,0,,,0.8190781247640009,0.8607476156242861
FTM,reduced,TIGHT,7055,1739,0.5261644623346751,0.5254234886614052,1493,0.5626255860683188,0.5746600059651691,1364,0.6466275659824047,0.6242963621096161,1134,0.6798941798941799,0.6745823510040083,1255,0.7521912350597609,0.7384744813416263,70,0.7714285714285715,0.8110195914032572,0,,,0.7996372222379697,0.8399934946014144
